,Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Year_of_Sales,Hit
0,0,Wii Sports,Wii,2006.0,Sports,Nintendo,41.36,28.96,3.77,8.45,76.0,51.0,8.0,322.0,Nintendo,E,10.0,1
1,2,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.68,12.76,3.79,3.29,82.0,73.0,8.3,709.0,Nintendo,E,8.0,1
2,3,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.61,10.93,3.28,2.95,80.0,73.0,8.0,192.0,Nintendo,E,7.0,1
3,6,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.28,9.14,6.5,2.88,89.0,65.0,8.5,431.0,Nintendo,E,10.0,1
4,7,Wii Play,Wii,2006.0,Misc,Nintendo,13.96,9.18,2.93,2.84,58.0,41.0,6.6,129.0,Nintendo,E,10.0,1
5,8,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.44,6.94,4.7,2.24,87.0,80.0,8.4,594.0,Nintendo,E,7.0,1
6,11,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.71,7.47,4.13,1.9,91.0,64.0,8.6,464.0,Nintendo,E,11.0,1
7,13,Wii Fit,Wii,2007.0,Sports,Nintendo,8.92,8.03,3.6,2.15,80.0,63.0,7.7,146.0,Nintendo,E,9.0,1
8,14,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,61.0,45.0,6.3,106.0,Good Science Studio,E,6.0,1
9,15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.01,8.49,2.53,1.77,80.0,33.0,7.4,52.0,Nintendo,E,7.0,1
10,16,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,97.0,50.0,8.2,3994.0,Rockstar North,M,3.0,1
11,17,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,95.0,80.0,9.0,1588.0,Rockstar North,M,12.0,1
12,19,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.74,9.2,4.16,2.04,77.0,58.0,7.9,50.0,Nintendo,E,11.0,1
13,23,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,97.0,58.0,8.1,3711.0,Rockstar North,M,3.0,1
14,24,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,95.0,62.0,8.7,730.0,Rockstar North,M,14.0,1
15,26,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.43,5.35,5.32,1.18,77.0,37.0,7.1,19.0,Nintendo,E,11.0,1
16,28,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,95.0,54.0,8.4,314.0,Polyphony Digital,E,15.0,1
17,29,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.04,4.24,0.13,1.32,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,5.0,1
18,32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.7,3.68,0.11,1.13,87.0,89.0,6.3,1454.0,Treyarch,M,6.0,1
19,34,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,83.0,21.0,5.3,922.0,Treyarch,M,4.0,1
20,35,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.24,0.07,1.12,83.0,73.0,4.8,2256.0,Treyarch,M,4.0,1
21,36,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.59,0.08,1.28,94.0,100.0,6.3,2698.0,Infinity Ward,M,7.0,1
22,37,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,5.0,1
23,38,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,97.0,56.0,8.5,664.0,DMA Design,M,15.0,1
24,39,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.62,2.55,2.66,1.01,93.0,81.0,8.9,1662.0,Game Arts,T,8.0,1
25,40,Mario Kart 7,3DS,2011.0,Racing,Nintendo,5.03,4.02,2.69,0.91,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,5.0,1
26,41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.99,4.37,0.48,1.79,88.0,58.0,6.4,1094.0,Treyarch,M,6.0,1
27,42,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,97.0,66.0,8.3,2899.0,Rockstar North,M,2.0,1
