,Platform,Genre,Publisher,NA_Sales,Critic_Score,Critic_Count,User_Score,Year_of_Sales
0,Wii,Sports,Nintendo,41.36,76.0,51.0,8.0,10.0
2,Wii,Racing,Nintendo,15.68,82.0,73.0,8.3,8.0
3,Wii,Sports,Nintendo,15.61,80.0,73.0,8.0,7.0
6,DS,Platform,Nintendo,11.28,89.0,65.0,8.5,10.0
7,Wii,Misc,Nintendo,13.96,58.0,41.0,6.6,10.0
8,Wii,Platform,Nintendo,14.44,87.0,80.0,8.4,7.0
11,DS,Racing,Nintendo,9.71,91.0,64.0,8.6,11.0
13,Wii,Sports,Nintendo,8.92,80.0,63.0,7.7,9.0
14,X360,Misc,Microsoft Game Studios,15.0,61.0,45.0,6.3,6.0
15,Wii,Sports,Nintendo,9.01,80.0,33.0,7.4,7.0
16,PS3,Action,Take-Two Interactive,7.02,97.0,50.0,8.2,3.0
17,PS2,Action,Take-Two Interactive,9.43,95.0,80.0,9.0,12.0
19,DS,Misc,Nintendo,4.74,77.0,58.0,7.9,11.0
23,X360,Action,Take-Two Interactive,9.66,97.0,58.0,8.1,3.0
24,PS2,Action,Take-Two Interactive,8.41,95.0,62.0,8.7,14.0
26,DS,Puzzle,Nintendo,3.43,77.0,37.0,7.1,11.0
28,PS2,Racing,Sony Computer Entertainment,6.85,95.0,54.0,8.4,15.0
29,X360,Shooter,Activision,9.04,88.0,81.0,3.4,5.0
32,X360,Shooter,Activision,9.7,87.0,89.0,6.3,6.0
34,PS3,Shooter,Activision,4.99,83.0,21.0,5.3,4.0
35,X360,Shooter,Activision,8.25,83.0,73.0,4.8,4.0
36,X360,Shooter,Activision,8.52,94.0,100.0,6.3,7.0
37,PS3,Shooter,Activision,5.54,88.0,39.0,3.2,5.0
38,PS2,Action,Take-Two Interactive,6.99,97.0,56.0,8.5,15.0
39,Wii,Fighting,Nintendo,6.62,93.0,81.0,8.9,8.0
40,3DS,Racing,Nintendo,5.03,85.0,73.0,8.2,5.0
41,PS3,Shooter,Activision,5.99,88.0,58.0,6.4,6.0
42,PS4,Action,Take-Two Interactive,3.96,97.0,66.0,8.3,2.0
43,DS,Simulation,Nintendo,2.5,86.0,57.0,8.7,11.0
44,X360,Shooter,Microsoft Game Studios,7.97,94.0,86.0,7.8,9.0
48,PS2,Racing,Sony Computer Entertainment,3.01,89.0,74.0,8.5,12.0
49,Wii,Platform,Nintendo,6.06,97.0,73.0,8.9,9.0
51,X360,Action,Take-Two Interactive,6.76,98.0,86.0,7.9,8.0
52,PS,Racing,Sony Computer Entertainment,4.02,96.0,16.0,8.7,19.0
53,3DS,Platform,Nintendo,4.89,90.0,82.0,8.4,5.0
54,PS3,Racing,Sony Computer Entertainment,2.96,84.0,82.0,7.5,6.0
55,PS3,Shooter,Activision,4.99,94.0,67.0,6.3,7.0
57,PS3,Action,Take-Two Interactive,4.76,98.0,64.0,7.5,8.0
60,X360,Shooter,Activision,6.73,73.0,29.0,2.6,3.0
61,Wii,Misc,Ubisoft,5.95,74.0,15.0,7.8,5.0
62,3DS,Platform,Nintendo,3.66,78.0,70.0,7.2,4.0
64,X360,Shooter,Microsoft Game Studios,7.04,91.0,99.0,7.9,6.0
